tm_value,board_size,winner,margin,komi
0,19,Black,63,0
0,19,Black,17,0
0,19,Black,87,0
0,19,Black,107,0
0,19,Black,69,0
0,19,White,54,0
0,19,White,9,0
0,19,White,5,0
0,19,Black,29,0
0,19,White,23,0
0,19,Black,12,0
0,19,Black,6,0
0,19,White,20,0
0,19,Black,23,0
0,19,White,99,0
0,19,White,81,0
0,19,White,77,0
0,19,White,32,0
0,19,White,47,0
0,19,Black,60,0
0,19,White,101,0
0,19,White,49,0
0,19,White,2,0
0,19,Black,6,0
0,19,Black,8,0
0,19,White,51,0
0,19,White,64,0
0,19,White,5,0
0,19,Black,72,0
0,19,Black,62,0
0,19,Black,94,0
0,19,White,7,0
0,19,Black,37,0
0,19,White,24,0
0,19,Black,84,0
0,19,Black,86,0
0,19,Black,33,0
0,19,Black,61,0
0,19,Black,20,0
0,19,Black,55,0
0,19,Black,61,0
0,19,White,48,0
0,19,Black,9,0
0,19,White,5,0
0,19,Black,2,0
0,19,Black,36,0
0,19,White,55,0
0,19,Black,7,0
0,19,Black,30,0
0,19,Black,6,0
0,19,Black,9,0
0,19,Black,38,0
0,19,White,45,0
0,19,White,18,0
0,19,Black,13,0
0,19,White,50,0
0,19,Black,59,0
0,19,White,17,0
0,19,White,2,0
0,19,White,3,0
0,19,Black,19,0
0,19,White,30,0
0,19,Black,58,0
0,19,White,46,0
0,19,Black,66,0
0,19,Black,37,0
0,19,White,59,0
0,19,White,13,0
0,19,White,10,0
0,19,White,15,0
0,19,Black,18,0
0,19,Black,63,0
0,19,Black,68,0
0,19,Black,138,0
0,19,Black,7,0
0,19,White,1,0
0,19,Black,1,0
0,19,Black,18,0
0,19,White,43,0
0,19,White,39,0
0,19,White,73,0
0,19,Black,37,0
0,19,White,0,0
0,19,Black,2,0
0,19,Black,24,0
0,19,White,47,0
0,19,White,24,0
0,19,White,75,0
0,19,White,21,0
0,19,Black,32,0
0,19,White,39,0
0,19,Black,27,0
0,19,White,51,0
0,19,White,104,0
0,19,Black,10,0
0,19,Black,18,0
0,19,White,47,0
0,19,Black,2,0
0,19,White,18,0
0,19,Black,61,0
0,19,Black,69.5,7.5
0,19,Black,50.5,7.5
0,19,Black,19.5,7.5
0,19,Black,20.5,7.5
0,19,White,13.5,7.5
0,19,White,3.5,7.5
0,19,White,21.5,7.5
0,19,White,82.5,7.5
0,19,Black,18.5,7.5
0,19,White,79.5,7.5
0,19,Black,0.5,7.5
0,19,White,62.5,7.5
0,19,White,47.5,7.5
0,19,Black,19.5,7.5
0,19,Black,32.5,7.5
0,19,Black,45.5,7.5
0,19,Black,25.5,7.5
0,19,Black,33.5,7.5
0,19,Black,31.5,7.5
0,19,White,61.5,7.5
0,19,Black,25.5,7.5
0,19,Black,22.5,7.5
0,19,White,8.5,7.5
0,19,Black,2.5,7.5
0,19,Black,45.5,7.5
0,19,Black,3.5,7.5
0,19,White,4.5,7.5
0,19,White,74.5,7.5
0,19,White,146.5,7.5
0,19,Black,16.5,7.5
0,19,White,28.5,7.5
0,19,Black,21.5,7.5
0,19,White,81.5,7.5
0,19,White,80.5,7.5
0,19,Black,16.5,7.5
0,19,White,37.5,7.5
0,19,White,22.5,7.5
0,19,White,2.5,7.5
0,19,Black,0.5,7.5
0,19,White,47.5,7.5
0,19,Black,14.5,7.5
0,19,White,53.5,7.5
0,19,White,38.5,7.5
0,19,Black,6.5,7.5
0,19,White,104.5,7.5
0,19,White,78.5,7.5
0,19,White,28.5,7.5
0,19,Black,56.5,7.5
0,19,White,50.5,7.5
0,19,Black,23.5,7.5
0,19,White,59.5,7.5
0,19,Black,28.5,7.5
0,19,Black,56.5,7.5
0,19,Black,80.5,7.5
0,19,Black,25.5,7.5
0,19,Black,22.5,7.5
0,19,Black,59.5,7.5
0,19,White,20.5,7.5
0,19,White,86.5,7.5
0,19,White,29.5,7.5
0,19,Black,47.5,7.5
0,19,White,69.5,7.5
0,19,White,20.5,7.5
0,19,White,2.5,7.5
0,19,White,86.5,7.5
0,19,Black,24.5,7.5
0,19,White,23.5,7.5
0,19,Black,30.5,7.5
0,19,Black,9.5,7.5
0,19,White,105.5,7.5
0,19,Black,135.5,7.5
0,19,Black,0.5,7.5
0,19,White,48.5,7.5
0,19,White,102.5,7.5
0,19,Black,20.5,7.5
0,19,Black,17.5,7.5
0,19,White,58.5,7.5
0,19,White,12.5,7.5
0,19,Black,7.5,7.5
0,19,White,34.5,7.5
0,19,Black,26.5,7.5
0,19,Black,12.5,7.5
0,19,White,4.5,7.5
0,19,Black,128.5,7.5
0,19,White,51.5,7.5
0,19,White,10.5,7.5
0,19,White,30.5,7.5
0,19,White,57.5,7.5
0,19,Black,31.5,7.5
0,19,White,43.5,7.5
0,19,Black,0.5,7.5
0,19,White,43.5,7.5
0,19,Black,30.5,7.5
0,19,White,22.5,7.5
0,19,White,52.5,7.5
0,19,White,17.5,7.5
0,19,Black,25.5,7.5
0,19,Black,23.5,7.5
0,19,White,58.5,7.5
0,19,White,42.5,7.5
8,19,White,34,0
8,19,White,20,0
8,19,Black,19,0
8,19,Black,35,0
8,19,White,19,0
8,19,Black,3,0
8,19,Black,7,0
8,19,White,96,0
8,19,Black,28,0
8,19,Black,70,0
8,19,Black,58,0
8,19,Black,8,0
8,19,Black,4,0
8,19,Black,36,0
8,19,White,2,0
8,19,Black,54,0
8,19,Black,127,0
8,19,White,1,0
8,19,White,63,0
8,19,White,69,0
8,19,Black,105,0
8,19,White,67,0
8,19,Black,82,0
8,19,Black,88,0
8,19,Black,106,0
8,19,White,15,0
8,19,White,42,0
8,19,White,16,0
8,19,White,0,0
8,19,Black,43,0
8,19,White,26,0
8,19,Black,41,0
8,19,White,61,0
8,19,Black,21,0
8,19,Black,40,0
8,19,White,40,0
8,19,White,12,0
8,19,Black,1,0
8,19,White,2,0
8,19,White,4,0
8,19,Black,141,0
8,19,White,13,0
8,19,Black,101,0
8,19,Black,12,0
8,19,White,59,0
8,19,Black,16,0
8,19,Black,3,0
8,19,Black,6,0
8,19,White,72,0
8,19,White,41,0
8,19,White,62,0
8,19,White,22,0
8,19,White,59,0
8,19,Black,59,0
8,19,White,13,0
8,19,Black,63,0
8,19,White,125,0
8,19,Black,19,0
8,19,White,25,0
8,19,White,9,0
8,19,White,97,0
8,19,Black,13,0
8,19,White,11,0
8,19,Black,1,0
8,19,White,20,0
8,19,White,108,0
8,19,Black,1,0
8,19,Black,98,0
8,19,Black,14,0
8,19,Black,91,0
8,19,White,61,0
8,19,Black,99,0
8,19,White,53,0
8,19,White,6,0
8,19,Black,3,0
8,19,Black,2,0
8,19,White,119,0
8,19,Black,35,0
8,19,White,65,0
8,19,White,47,0
8,19,White,1,0
8,19,Black,54,0
8,19,White,73,0
8,19,Black,28,0
8,19,Black,10,0
8,19,Black,30,0
8,19,White,87,0
8,19,White,32,0
8,19,White,3,0
8,19,Black,11,0
8,19,Black,63,0
8,19,White,36,0
8,19,White,203,0
8,19,White,50,0
8,19,White,8,0
8,19,White,1,0
8,19,White,97,0
8,19,White,1,0
8,19,Black,72,0
8,19,White,66,0
